timestamp (UTC+1),PM2.5 nom,PM10 nom,humidity_percent,pm10_ugm3,PM10 Avg,pm25_ugm3,PM2.5 Avg,temperature_degC
2018-03-21 20:16:48,40,25,43.8,15.55,15.041499,6.778332,6.7911673,13.9
2018-03-21 20:17:48,40,25,43.8,14.02333,14.709332,6.896667,6.7223339,13.9
2018-03-21 20:18:48,40,25,43.8,16.70333,14.764665,7.011667,6.6571673,13.9
2018-03-21 20:19:48,40,25,43.9,14.81833,14.516332,6.993334,6.6105005,13.9
2018-03-21 20:20:48,40,25,43.8,14.74833,14.455166,7.026667,6.5543339,13.9
2018-03-21 20:21:48,40,25,43.9,12.62,14.336833,6.675002,6.5000004,13.9
2018-03-21 20:22:48,40,25,43.8,14.95167,14.222333,6.400002,6.4825001,13.9
2018-03-21 20:23:48,40,25,43.9,15.86167,14.020333,6.968333,6.466,13.9
2018-03-21 20:24:48,40,25,43.9,15.545,13.977833,6.780002,6.4163333,13.9
2018-03-21 20:25:48,40,25,43.9,15.59333,13.773333,6.381667,6.3796665,13.9
2018-03-21 20:26:48,40,25,43.9,12.22833,13.528833,6.089998,6.369,13.9
2018-03-21 20:27:48,40,25,43.8,14.57666,13.7245,6.245001,6.411,13.8
2018-03-21 20:28:48,40,25,43.9,14.22,13.587334,6.544999,6.4319998,13.8
2018-03-21 20:29:48,40,25,43.9,14.20667,13.542334,6.431668,6.4201666,13.8
2018-03-21 20:30:48,40,25,43.9,13.565,13.3915,6.483332,6.4194998,13.8
2018-03-21 20:31:48,40,25,43.9,11.475,13.399,6.499999,6.4008335,13.8
2018-03-21 20:32:48,40,25,43.9,12.93167,13.4625,6.235001,6.3690004,13.8
2018-03-21 20:33:48,40,25,43.9,15.43667,13.451833,6.471666,6.3493338,13.8
2018-03-21 20:34:48,40,25,44,13.5,13.128999,6.413334,6.3166674,13.8
2018-03-21 20:35:48,40,25,44,13.14833,12.959499,6.275002,6.2940007,13.8
2018-03-21 20:36:48,40,25,44.1,14.185,12.801166,6.509998,6.2723336,13.8
2018-03-21 20:37:48,40,25,44.1,13.205,12.655832,6.454999,6.2353338,13.8
2018-03-21 20:38:48,40,25,44.1,13.77,12.662166,6.426667,6.2060007,13.8
2018-03-21 20:39:48,40,25,44.1,12.69833,12.715666,6.425,6.1890008,13.8
2018-03-21 20:40:48,40,25,44.1,13.64,12.648166,6.296669,6.1873341,13.8
2018-03-21 20:41:48,40,25,44.2,12.11,12.636333,6.181668,6.1810005,13.8
2018-03-21 20:42:48,40,25,44.2,12.825,12.769166,6.038335,6.1928337,13.8
2018-03-21 20:43:48,40,25,44.1,12.20833,12.733833,6.145002,6.2560002,13.8
2018-03-21 20:44:48,40,25,44.2,11.805,12.711,6.186667,6.2396668,13.8
2018-03-21 20:45:48,40,25,44.2,11.565,12.790667,6.058331,6.2563333,13.8
2018-03-21 20:46:48,40,25,44.2,12.73166,12.826834,6.14,6.2476667,13.8
2018-03-21 20:47:48,40,25,44.2,13.26834,12.647501,6.161668,6.2258329,13.8
2018-03-21 20:48:48,40,25,44.2,14.305,12.4405,6.256668,6.2128329,13.8
2018-03-21 20:49:48,40,25,44.2,12.02333,12.122333,6.408333,6.1886662,13.8
